date,home_team,away_team,hp_umpire_id,temp,windspeed,winddir
2015-04-05,CHN,SLN,wintm901,44,7,fromcf
2015-04-06,ARI,SFN,cedeg901,81,7,ltor
2015-04-06,CIN,PIT,hirsj901,68,15,tocf
2015-04-06,DET,MIN,westj901,52,5,rtol
2015-04-06,HOU,CLE,barrt901,79,14,rtol
2015-04-06,KCA,CHA,laynj901,59,6,rtol
2015-04-06,LAN,SDN,gormb901,65,1,unknown
2015-04-06,MIA,ATL,nelsj901,80,16,fromcf
2015-04-06,MIL,COL,scotd901,70,0,unknown
2015-04-06,NYA,TOR,culbf901,54,5,rtol
2015-04-06,OAK,TEX,millb901,56,17,torf
2015-04-06,PHI,BOS,davig901,71,11,torf
2015-04-06,SEA,LAA,vanol901,54,1,unknown
2015-04-06,TBA,BAL,demud901,72,0,unknown
2015-04-06,WSN,NYN,welkt901,76,14,tocf
2015-04-07,ARI,SFN,coope901,79,13,torf
2015-04-07,LAN,SDN,carlm901,57,1,unknown
2015-04-07,MIA,ATL,diazl901,75,0,unknown
2015-04-07,MIL,COL,iassd901,64,0,unknown
2015-04-07,OAK,TEX,eddid901,54,16,torf
2015-04-07,SEA,LAA,kulpr901,56,3,torf
2015-04-07,TBA,BAL,hicke901,72,0,unknown
2015-04-08,ARI,SFN,drakr901,74,7,torf
2015-04-08,CHN,SLN,wegnm901,46,6,fromcf
2015-04-08,CIN,PIT,holbs901,64,2,ltor
2015-04-08,DET,MIN,danlk901,39,7,fromlf
2015-04-08,HOU,CLE,herna901,79,11,tolf
2015-04-08,KCA,CHA,wendh902,74,14,rtol
2015-04-08,LAN,SDN,dimum901,65,10,ltor
2015-04-08,MIA,ATL,guccc901,73,0,unknown
2015-04-08,MIL,COL,buckc901,64,0,unknown
2015-04-08,NYA,TOR,reynj901,44,17,ltor
2015-04-08,OAK,TEX,wolfj901,58,10,torf
2015-04-08,PHI,BOS,cuzzp901,40,11,rtol
2015-04-08,SEA,LAA,knigb901,60,1,fromlf
2015-04-08,TBA,BAL,nauep901,72,0,unknown
2015-04-08,WSN,NYN,everm901,46,6,tocf
2015-04-09,CIN,PIT,welkb901,73,13,rtol
2015-04-09,DET,MIN,barkl901,59,13,rtol
2015-04-09,HOU,CLE,barrs901,73,0,unknown
2015-04-09,KCA,CHA,davib902,72,18,ltor
2015-04-09,NYA,TOR,mealj901,42,7,ltor
2015-04-09,OAK,TEX,hamaa901,58,7,torf
2015-04-09,PHI,BOS,randt901,42,10,rtol
2015-04-09,SDN,SFN,gibsh902,67,12,ltor
2015-04-09,WSN,NYN,timmt901,47,8,torf
2015-04-10,LAA,KCA,millb901,67,7,tocf
2015-04-10,ARI,LAN,conrc901,82,6,fromcf
2015-04-10,ATL,NYN,schrp901,65,6,ltor
2015-04-10,BAL,TOR,ticht901,51,2,rtol
2015-04-10,CHA,MIN,hoyej901,66,21,rtol
2015-04-10,CIN,SLN,reybd901,64,11,rtol
2015-04-10,CLE,DET,barrl901,53,17,ltor
2015-04-10,COL,CHN,wolcq901,61,7,rtol
2015-04-10,MIA,TBA,littw901,75,0,unknown
2015-04-10,MIL,PIT,estam901,66,0,unknown
2015-04-10,NYA,BOS,fostm901,55,11,rtol
2015-04-10,OAK,SEA,gormb901,60,3,torf
2015-04-10,PHI,WSN,rackd901,57,11,torf
2015-04-10,SDN,SFN,carav901,64,7,unknown
2015-04-10,TEX,HOU,blasc901,65,6,fromlf
2015-04-11,LAA,KCA,eddid901,68,6,torf
2015-04-11,ARI,LAN,barrt901,83,10,unknown
2015-04-11,ATL,NYN,culbf901,76,8,ltor
2015-04-11,BAL,TOR,welkt901,61,14,tolf
2015-04-11,CHA,MIN,hirsj901,72,7,rtol
2015-04-11,CIN,SLN,westj901,56,4,ltor
2015-04-11,CLE,DET,scotd901,53,4,ltor
2015-04-11,COL,CHN,cedeg901,67,2,ltor
2015-04-11,MIA,TBA,davig901,75,0,unknown
2015-04-11,MIL,PIT,demud901,69,0,unknown
2015-04-11,NYA,BOS,muchm901,55,21,ltor
2015-04-11,OAK,SEA,carlm901,63,3,torf
2015-04-11,PHI,WSN,laynj901,61,10,fromlf
2015-04-11,SDN,SFN,vanol901,67,10,rtol
2015-04-11,TEX,HOU,nelsj901,71,6,ltor
